,1000/T (K⁻¹),Trap,ln(T²/en)
0,4.9838026414154,Trap 1,7.513719444009225
1,5.0163029847002765,Trap 1,7.6548852545297
2,5.032459362890645,Trap 1,7.781970273870605
3,5.05076013940098,Trap 1,7.892470643164095
4,5.067909993918509,Trap 1,7.991104780239446
5,5.08336722244815,Trap 1,8.080324203128571
6,5.1025614858659045,Trap 1,8.159767657558664
7,3.375299557835758,Trap 2,8.293137652021633
8,3.4058785463710364,Trap 2,8.429265819086647
9,3.429355281207133,Trap 2,8.549043323304161
10,3.452800220979214,Trap 2,8.653177032227793
11,3.4766888015853703,Trap 2,8.744801091409634
12,3.4929616822103458,Trap 2,8.830771973507241
13,3.5091413131206792,Trap 2,8.908510254283721
